"class","sample","1.02_567.3333n","1.32_480.3092m/z","1.32_495.3370n","1.54_509.3486n","1.82_523.3658n","1.83_508.3403m/z","4.77_807.5028m/z","4.86_857.5183m/z","5.35_859.5325m/z","5.82_885.5481m/z","5.84_809.5169m/z","5.93_747.4981m/z","6.04_835.5335m/z","6.34_723.4959m/z","6.77_887.5651m/z","6.90_913.5804m/z","7.00_744.5549m/z","7.01_889.5806m/z","7.29_772.5874m/z","7.30_788.6180m/z"
"disease","MS15006058",827997.89863498,251056.37177833,76785377.369866,1269726.60430555,36497458.3943002,208049.868423412,4503.22545978439,527043.343300751,55699.4743638161,19551.378217424,32916.5084423724,20220.2477100225,563672.250500153,357484.361048893,808441.87243514,132366.25582842,10885767.488974,292927.183551873,3764489.35391224,28787264.2419957
"healthy","MS15006076",636375.229932396,237210.08492925,75089936.7878733,1186184.92461708,33016551.112575,186733.180641977,93950.9704531395,1967132.45723074,472755.332847918,115729.871542445,134834.751753137,19016.4290371628,948367.99140401,378311.573362466,4453616.25073099,337261.76288642,14372540.4107848,521687.887766052,5460288.95769906,63246837.6688806
"healthy","MS15006077",1654441.57622519,276672.32421408,85229863.2665407,1570555.81390805,47702472.4186204,228988.325359209,3103.46276178188,517329.494978259,34071.915740907,21536.1296633577,23384.2459854295,71351.83448636,382323.160861941,1178920.48404375,1020113.97930651,160789.76910628,11660084.2077966,216146.357532109,4352709.10761959,54980769.0048725
"healthy","MS15006078",1139311.00279618,341468.198195971,99574282.1289966,2215923.59578304,56112403.5386428,270886.974793503,13079.1719140723,889396.911620748,99321.215326788,46124.1167187023,66621.9980168226,14202.3331047298,699322.163768043,247301.903501637,1499928.73773806,261806.536249429,11586889.7673809,371293.505681131,3684029.32438574,45374891.2035634
"healthy","MS15006079",801581.622034975,245351.072322532,79030934.4274559,1263320.11111684,30208605.9897462,149088.557039138,32110.4533889971,1037321.04769597,85786.2376217447,47038.07460284,74976.48193591,6923.48854854695,763696.768362874,83768.1104492512,1191744.50865557,175811.640939736,15598945.0519561,299503.74812117,4834720.86953311,50416761.348162
"healthy","MS15006080",704948.854817404,361388.269161851,97400248.8242223,1432005.18099117,55252251.9188206,309590.902943061,31620.0336351341,1951282.09010179,447658.36648659,157550.267460794,42235.836760401,5486.05659278926,832726.619714077,166736.998896835,3577852.09128105,385916.703200528,17513055.8035883,942048.324199538,7653626.41689706,68636849.4348323
"healthy","MS15006081",486034.628044611,299409.90842119,91458234.5147868,1179762.21209749,44142144.0748293,239596.22313133,27230.4445420869,1729112.84323716,373918.931397221,84198.814448104,88694.4733155672,4360.33676868309,820635.695979916,105099.65007909,2631214.29889201,245939.64908291,11952885.7892671,505906.497164014,3653567.6341668,37625013.4134504
"healthy","MS15006083",848994.617659287,290197.920639947,89441191.4565347,1834244.19565647,50152818.4442599,273410.246547385,3694.82485771383,652601.715418818,79030.4541948095,15329.0822025683,16910.6574814858,5586.87966048248,425609.738975997,46299.5300122258,1275575.91761051,102674.264609386,7204607.37679759,228495.654292492,2918348.30859941,28062359.948421
"healthy","MS15006084",449268.692272421,302091.779096456,91923321.7025652,1671143.97117772,50754476.5081053,278538.215766309,5129.2276133031,1070862.64615039,105297.671619676,37475.2918955236,15693.1365317334,4931.2307552398,417709.550702752,108973.670358138,1057226.1473068,156083.70480938,10239372.0029513,199319.433491096,4433865.41182536,34612109.8793211
"healthy","MS15006085",376792.858785083,224045.085026097,67011966.0315506,640038.954046402,26244862.15759,171240.378345924,7382.96223414701,742179.049327149,116991.457792299,6131.57072184035,19871.7589578576,2743.83095411122,556204.154452456,80102.8426799653,1136289.17137559,122428.930378856,8744844.85215978,284962.128169772,3101357.28931053,22047140.9269239
